"Диалог","Допродажи","Успех допродажи"
" Вонючее, конечно, но ухудшает. Вонючее запах ваниль смешать с болотом.
 Гадость такая.
 Ой, ваниль? У меня так говно воняет.
 Ваниль с болотом.
 Ну да, говно.
 Ну то есть, типа, блин.
 Ничего хорошего.
 Мне в этом плане сейчас уходило на полную, ну вот, когда у нас сейчас такой апельсин, потому что нас больше,
 а меня на Азис, мне там понравилось, мне Азис очень круто понравилась, я очень классно сработала с девчонками.
 Вот, но, блин, они тоже курят.
 Блин, вообще.
 Да, это прям такое. Я в первый раз сталкиваюсь вообще с таким, чтобы, ну, типа.
 У меня курит только Настя, и то он выходит.
 Ну да, это нормально, типа, ну.
 Юля тоже курит, но она выходит, но она выходит каждый час.
 У нас, впрочем, Винка подсела на чай чабрец-мята.
 Начал кружать.
 Всё, из-за них все потянулись.
 Ничего себе.
 Сейчас он на фигнях.
 Мы вот с Настей себе купили и пьют, переодевся.
 Редактор субтитров Т.Свистак Корректор Е.Жукова
 Здравствуйте.
 Здравствуйте.
 Где у нас...
 На двоих стенах, вот.
 Всё, точно вижу.
 Что ты будешь, Саша?
 Это что-нибудь теплое.
 Ну, хорошо холодное, как вчера.
 Как вчера.
 Делайте холодное.
 Холодное, лавка, лимонная печенье.
 Холодная, лавковая печень.
 Нам с собой.
 Два.
 Два лимона печенья холодного.
 Хорошо.
 Давайте, наверное, один классический капучино с корицей с собой.
 Корица у нас не используется.
 А, да?

 Вот этот холодный латте вкусный, можно сказать.
 А капучино можно сделать?
 Ну, можно сделать холодный латте у нас есть.
","+",""
" Вот такой капучино по крепости.
 Просто, что-то будет без пена.
 Хорошо.
 Значит, один...
 Дай мне лимонное печенье.
 Хорошо.
 Нет, не нужно.
 Нет, не нужно.
 Тебе тоже?
 Ну да, мне и латте, да и не латте.
 А, более крепкий. Хорошо, без проблем.
 2 лата лимонного печенья холодный
 700 рублей будет карта наличная
 карта
 можно чек распечатать вам?
 нет
 Пожалуйста. Ой, они вам ещё.
 Мне?
 А, для того, да?
 Да.
 Этот покрепче, а этот классический.
 Субтитры добавил DimaTorzok
 Выкинуть бумажечки.
 Вызывайте.
 Спасибо.
 Всего доброго.
 А, еще хочешь прикол?
 Давай.
 Как Евгений приучил Юлю работать на татарской.
 Цепочки на глаз, все на глаз.
 Цепочки в смысле, которые?
 В смысле цепочки.
 Он так всегда работал.
 Он все по тому жбара.
 Все делает на глаз.
 Такого я даже раньше не видела.
 Поэтому чуть не удивляться, что уже есть люди, которые любят, чтобы я делала кухню.
 Ну там, Рафа, вот этот вот, он такой, ну почему-то у вас по-другому получается.
 Я сначала думала, что это он балует, там, просто что-то.
 А нет.
 А ты ничего ему не говорила? Типа, ну, чувак, это ненормально.
 Или он...
 Вот прошу, вот прошу.
 С этими словами, выставляя его с трубкой во рту, на расслабоне, он думал такое?
 Вот типа того, да.
 И мне такой, ну ты в работе гачи, а мне это...
 При этом, при этом он терпеть не может гостей душнил.
 Типа вот, вот это вот, вот это вот, какая ж он душная.
 Вот такой, это, и сам такой, ну типа, тряпочка не так лежит.
 Питчеры не в том последовательности.
 Вот.
 И в какой-то момент он начинает что-то там писать, почему, я говорю, ну, типа,
 мне кажется, это не особо понятно.
 И это лекция на полчаса, и ты типа не можешь даже...
 Я сейчас, я...
","",""
" Здравствуйте.
 Здравствуйте.
 А можно фильтр?
 Фильтр.
 Я не могу, мне, говорю, чтобы с ней подготовиться, надо выпить какую-то ватку...
 Жидкость.
 Да.
 Не построить, чтобы понимала.
 За час надо выпить.
 И, конечно, я это не могу пить, я сегодня уже...
 А я говорю, почему у нас так много пить?
 Говорят, вот такой, ну, я говорю, ну, что...
 Есть такой...
 И вот одним я читаю...
 На понедельник.
 Да, это всё что?
 Надо еще заварить.
 Пожалуйста.
 Спасибо вам, ребята.
 Короче...
 Моя маленькая личная гордость, это у меня с...
 Отвинка более-менее от лишения.
 Угу.
 Налаживайся.
 Это прям...
 А то поначалу было сложно.
 Слушай, и про Полину тут никто особо и не спрашивает.
 Не знаю, что они...
 Слушай, о Полине я могу...
 Она мне уже говорила...
 Она уже говорила, что у нее там не стрессовые содеяния есть.
 Она про меня говорила,
 про Сокова и одну Аку, а у меня другую Аку.
 Вот, что...
 Она говорила, что если ее убьют,
 то все в лорусе.
 Кстати, в Колумбии неплохо началось.
 У меня человек, короче, не пробовали в Колумбии,
 на обучение, и он мог потерять, но он ничего не потерял.
 Но вот тут у нас появился постоянник, который берет зерно.
 И он такой, в Колумбии у меня.
 Я такая, ну нет, у нас в Колумбии в работе другое.
 Давай.
 Я его поила чем-то другим, давала ему другое зерно.
 А он типа спрашивал потом в крайний раз, ну что, как вам зерно?
 Он такой, все говно, это не Колумбия.
 Я такая, все, поняла, закажу для вас Колумбию.
 Вот, заказала я его по комплиментам, по-моему.
 Все, мы сделали там вроде бы ролл-криб и версию.
 Там Костя просто так скрылился.
 Я говорю, вот видишь, я говорила, я говорила, почему я не заказывала.
 Вот.
 Внутри пути, говоришь?
 Да, давай.
 А как у вас инвенты проходят?
 В смысле?
 Ну, если так...
 Пересыпают, пересыпают...
 Интересно почему?
 Типа тут крайне редко сейчас с утра кто-то приходит.
 Ну так были, да, в данном случае.
","+",""
" Можно не закрывать уже так, да?
 Всё пожалуйста, мама.
 Спасибо большое.
 Спасибо.
","",""
" Ну ты кстати вполне возможно могла бы с Евгением сработать.
 Он очень любит взаимный троллинг.
 Но я же не переживала, что он больше или меньше.
 Ну, да. Вот. Это как его...
 Любимая шутка.
 Я же не смогла уйти на больничный с этим кашлем, потому что
 он поодин остался, типа так.
 И вот такой устроила истерику по этому поводу, что я подвожу.
 Вот. Я такая, ну, блин.
 А еще у меня там приступы кашля выворачивали.
 Достаточно.
 Можно на это слово смотреть?
 Конечно.
 А вот батончик накроете хочешь?
 Нет, спасибо.
","",""
" Нет, то, что они такие, все оставили возможность заниматься собой,
 не зная, что делать.
 Когда они сегодня пишут по работе, у меня сегодня все написали по работе.
 Короче, это, конечно, прикол.
 Я написала всем, чтобы они меня не трогали.
 Она даже мне альтернативно сейчас пишет, мне звонит какая-то Ольга,
 говорит, что я вошла в не проработку.
 Она позвонила всем, чтобы меня не трогали.
 Нет, ну, знаешь, вот это...
 Ну, они реально сделали это.
 Ты не будешь на работе?
 Нет, я потому, что они тоже, в принципе, про работу.
 Ну, правильно, потому что ты тоже про работу.
 И расскажешь, что правильно, я-то я.
 Ну, это просто я ржала, правда, было так смешно.
 В общем, они сделали это.
 Пожалуйста, да, Катюша, приятного.
 Спасибо. Не понимаю, зачем проработка.
 Че ты говоришь про Женя?
 Да блин, просто...
 Уровень шуток
 Ну типа, меня выворачивает от кашля
 И, ну, соответственно, мне так плохо
 И я разговариваю с другими человеками
 Ну, если говорить с человеком, то я...
 ...то я не могу
 Вот, он такой, че ты мне за гостей рассказываешь?
 Я такая, слушай, ну это мне как бы не контролируется
 Вот
 Я же шучу, типа, че такое, короче
","+",""
" М-м-м-м-м-м-м-м-м-м-м-м-м.
 М-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м-м.
 Блаты и чай.
 Спасибо.
 М-м-м-м.
 Если сахар трубочку истощать, то нам будет сейчас

 
 А мы еще поедем
 В Чебрец?
 В Чебрец, в машину
 Продолжение следует...
","",""
" Здравствуйте! Можно, пожалуйста, трубочку сгущу?
 Хорошо.
 Хорошо.
 У неё должно быть вечером на Владимирченке была, она у них не приехала.
 Но она не просто... Ну то есть одно дело там...
 Старшая Настя тоже в оборот упала в Альцычке.
 Но она девочкам на себя просила выйти, так сказать, говоря.
 Это просто заблудилось.
 А то, что она не просто не вышла, она ещё не написала никому, что надо выходить.
 Что там, он тебе может сказать плохо, ты спишешь там.
 Она никому не написала, просто не вышла.
 Что ей надо?
 Нет, это просто от себе сообщение такое.
 Почему не вышла? И плохо, правда.
 Почему не приедет?
 – Не уменьшалось размножение?
 – Не уменьшалось размножение.
 – А?
 – Не уменьшалось размножение?
 – Ну, она всегда уменьшается.
 – Мы не прошли, когда уменьшались, и думали, что проблема, что
 она уменьшается.
 – Нет, это так должно быть.
 Вот, типа, она при сушке уменьшается, при обжиге еще больше.

 Ну, да.
 Ну, там, кажется, процент обычно от 6 до 12, ну, 10.
 А температура зависит.

 Ой, прикольно, это я вот...
 На венах делала эти вот мисочки?
 Да, конечно.
 Ну, уже больше видно, это цветы.
 А, цветочки?
 Да.
 Как рельеф.
 А это как фаза, или что?
 Это фаза. Неужели до сих пор не привезли апельсины?
 Нет, абсолютно нет.
 Вот так вот, да?
 Ну, мы поставщики.
 Давайте тогда американо и эспрессо.
 И без сиропов.
 Американо?
 А, лимонад.
 Я уже...
 С каких пор скажите, у нас с Даблби есть американо?
 Ну да, я это...
 Уже забыла.
 А просто на той точке, где я сейчас работаю, вообще никто не берет американо.
","",""
" У неё должно быть вечером на Владимирченке была, она у них не приехала.
 Но она не просто... Ну то есть одно дело там...
 Старшая Настя тоже в оборот упала в Альцычке.
 Но она девочкам на себя просила выйти, так сказать, говоря.
 Это просто заблудилось.
 А то, что она не просто не вышла, она ещё не написала никому, что надо выходить.
 Что там, он тебе может сказать плохо, ты спишешь там.
 Она никому не написала, просто не вышла.
 Что ей надо?
 Нет, это просто от себе сообщение такое.
 Почему не вышла? И плохо, правда.
 Почему не приедет?
 – Не уменьшалось размножение?
 – Не уменьшалось размножение.
 – А?
 – Не уменьшалось размножение?
 – Ну, она всегда уменьшается.
 – Мы не прошли, когда уменьшались, и думали, что проблема, что
 она уменьшается.
 – Нет, это так должно быть.
 Вот, типа, она при сушке уменьшается, при обжиге еще больше.

 Ну, да.
 Ну, там, кажется, процент обычно от 6 до 12, ну, 10.
 А температура зависит.

 Ой, прикольно, это я вот...
 На венах делала эти вот мисочки?
 Да, конечно.
 Ну, уже больше видно, это цветы.
 А, цветочки?
 Да.
 Как рельеф.
 А это как фаза, или что?
 Это фаза. Неужели до сих пор не привезли апельсины?
 Нет, абсолютно нет.
 Вот так вот, да?
 Ну, мы поставщики.
 Давайте тогда американо и эспрессо.
 И без сиропов.
 Американо?
 А, лимонад.
 Я уже...
 С каких пор скажите, у нас с Даблби есть американо?
 Ну да, я это...
 Уже забыла.
 А просто на той точке, где я сейчас работаю, вообще никто не берет американо.
","",""
" Ну, у них еще кабучино вкусно, кстати, тоже.
 Мне кабучино хочу, молоком не хочу.
 Тогда фильтр, я думаю.
 Вот эспрессо мне нравится, ну давайте фильтр попробуем.
 Ну, сейчас такой достаточно высокой кислотности на Колумбии.
 Ну, все-таки, все-таки.
 Эспрессо это фильтр, да? Да.
 Давайте. Два фильтра? Да.
 Все? Больше всего. А, они у вас 350, да?
 Что сейчас? Объем какой?
 220. 220, да.
 А по вручную, да, не будем?
 А, ну можно полторы порции, по-моему, сделать?
 Не, не надо мне делать.
 Если можно, мне полторы сначала повторять.
","+",""
" Вот серьезно. Хотя я его люблю,
 даже рассказываю, но нет.
 Странные.
 Вот странные люди, реально странные.
 Вот никто не берет вообще.
 За несколько месяцев один раз брали.
 Девочки, которые со мной работают, они тоже не любят его.
 Они считают, что это горькое с дождьмом.
 Здравствуйте.
 Здравствуйте.
 Так.
 А то все этот эспрессо сейчас пропадет.
 Да.
 Я думаю, мало ли, у нас будет...
 Просто.
 Мы все ждем.
 Сколько еще? 18?
 Да
 Побольше, пожалуйста, цитрусовара.
 Цитрусовара? Хорошо.
 Цитрусовара? Да.
 Бумажечки распечатайте.
 Нет, спасибо.
 Здравствуйте!
 Здравствуйте!
 Какой философский!
 А вот можете на стенах есть вот здесь
 Спасибо!
 Какой хороший философский!
 Ну я фиктор буду!
 Он кислый!
 Ну, у них еще кабучино вкусно, кстати, тоже.
 Мне кабучино хочу, молоком не хочу.
 Тогда фильтр, я думаю.
 Вот эспрессо мне нравится, ну давайте фильтр попробуем.
 Ну, сейчас такой достаточно высокой кислотности на Колумбии.
 Ну, все-таки, все-таки.
 Эспрессо это фильтр, да? Да.
 Давайте. Два фильтра? Да.
 Все? Больше всего. А, они у вас 350, да?
 Что сейчас? Объем какой?
 220. 220, да.
 А по вручную, да, не будем?
 А, ну можно полторы порции, по-моему, сделать?
 Не, не надо мне делать.
 Если можно, мне полторы сначала повторять.
 Хорошо.
 Шоколад есть натуральный?
 Это на основе фиников
 Ну давайте фиников
 Вот так лучше
 Он с фиником получается вместе?
 Да, там паста финиковая
 Да, нормально
 Какой я покажу тебе, пожалуйста?
 Значит, это будет батончик.
 И так, 800, 5 рублей.
 А 5 рублей не будет?
 Нет.

 Вы можете чек распечатать вам?
 Хорошо
 Парни, у вас 100 листер для нашего дача?
 Часок готов?
 Через минуту сейчас
 Спасибо
 Вода без газа есть не холодная?
 Есть
 Сколько стоит?
 105 рублей
 Вот, возьмите
 И мне, пожалуйста, если будете с тобой, стоит достать.
 Хорошо. Холодной комнатой температура?
 Холодной.
 Мне сдачу нужно такой маленькой дать, какой-нибудь.
 Хорошо, сейчас.
 Пожалуйста
 Секунду
 Пожалуйста
 Секунду
 Пожалуйста
 Вам подставка понадобится для фиа?
 Фия.
 А что с подставкой?
 Ну что, все, все подставка была.
 Дали мы здесь покрыли.
 
","",""
" А так вот заказать можно еще по пакетам, 10-20 штук?
 Мало предложили, да?
 В этот раз мало, да.
 Я же такой, основной профиль был. Я сейчас так, как хобби его занимаюсь.
 А так, любви, я прошлый раз говорил, нельзя выбирать любви.
 Могу через это брать.
 Какие-то обновления, да, какие-то обновления, какие-то вот, из упрохи, какие-то,
 могу привести любви.
 Отлично, отлично, верно.
 Прощаемся.
 На, конечно.
 На, конечно.
 Здоровья вам. Буду ждать по 4 и до полтора.
 Хорошо, все, хорошие дни.
 И он говорит, товарищ, мало. В прошлый раз, говорит, 50 пар было, это я сделал 25 раз.
 А сейчас всего 24 пары.
 Ты посмотришь, повторяю, в 60-е годы 600 евро было.
 Да, без разницы.
 Он говорит, 506 евро есть, то есть, и дорога 20 метров.
 Ну, говорит, ну, хотя бы, что-нибудь там 50-60 евро дорога.
 Понимаешь?
 Грабит по 900 свои деньги, да, и ничего не обманывается.
 Смысл не в этом.
 Все, да.
 Относительно бюджетно, взрослые.
 Ну, знаешь, у нас не было такого,
 вот такого, лейтенанта.
 Много людей.
 Наши...
 Да, нет, кстати, тут 50...
 Наши, взрослые, взрослые.
 Взрослые, да.
 На Ямал-Убеж тоже. Вот вчерашний, который был...
 Он не...
 Он вообще...
 Один у меня зашел, говорит,
 кинематограф, говорю, ну, как вам, пожалуйста.
 На Барлова.
 Он... Не знаю, пока...
 Все рады.
 Все рады.
","",""
" можно варички
 что вы закупите?
 варички
 если есть, терамика
 или что-нибудь синие бумаги
","",""
" ок, капучино писташки
","+","+"
" Можно, конечно, развернуть, а заварить его?
 Его заварить?
 У меня есть подозрение, что дело в карте еще может быть.
 Что в карте?
 Нет, нет, нет.
 Это была, конечно, ваша группа, которая была.
 Вам, Катя, наверное, рассказывала, что группа вашей, она не открытая.
 Она сейчас приехала.
 Вы с собой сам, как Куэр.
 Вы пока Куэр?
 Пакеты Куэр.
 Да, конечно, здравствуйте.
","+",""
" Ой, здравствуйте.
 Что вы играете?
 Здравствуйте.
 А мы-то по чайгами.
 А есть фильтр?
 Э-э... Нет.
 Закончился?
 Да-да.
 Лонго, да? Лонго-лонго.
","+",""
" Хотел сказать, может быть, можно уголовым смести где-то...
 Ну да, да.
 Хотели уголовым, да.
 Давайте, у вас хорошая смена.
 Встреча.
 Спасибо.
 Вкусного чая.
 Спасибо.
 Ну все, ребята, пошли домой.
 Отлично.
 Так, какой вам?
 Маленький, средний, большой?
 Идите, я тогда с вами.
 Редактор субтитров А.Семкин
 Корректор А.Кулакова
 1 лунга
 1 тачка
 хорошо
 Вам на каком зерне покислее сделать?
 Нет
 Хорошо
 Холодный и чёрный отступ.
 Гостожиный фильтр.
 Холодный и чёрный кофе.
 Нет, да
 Там какой, подожди
 А, ладно
","",""
" Мы оттуда посмотрели как идею, что можно быстро сделать.
 кофе, которого у нас на тот момент еще в компании не было
 понял
 то есть, грубо говоря, классического лунга
 в нормальном понимании
 вот эспрессо, то что по идее называется слово эспрессо, лунга, у нас его нет
 все, ясно
 да
 а здесь нет, а здесь что?
 в Боливии
 руку, руку
 а вы что, в Боливии, я говорю, эспрессо делаете, да?
 не, не, не, это я просто открываю
 понятно, а что вы в эспрессо делаете?
 кофе объем
 отлично
 извини, пожалуйста, двойное эспрессо мне
 ага
 так, заказала?
 да, заказала
 а что у нас тут?
 лата и вот конфетку
 так
 я не услышала права
 не забыл
 а мы еще потом что-то приговаривались
 м?
 спасибо за объяснение
 пожалуйста
 водичка понадобится для лата?
 для эспрессо?
 да, нормально
 ну, ладно
 Что-нибудь еще?
 Сейчас точнее вода или эспрессо
","+",""
" Ой, или капучино
 Капучино?
 Да
 Хорошо, по еще маленький давай
 Маленький
 и два дреб пакета
 а кто у вас дреб делает?
 а вы сами делаете?
 или кто-то для вас делает?
 790
 А это тоже, да?
 Да, это я распечатала
 Вот, все, все, все, все вместе, да?
 Да
 Че, я должна вас распечатать?
 Как так-то не сделала, наверное, на машине.
 Слышите, звук?
 Я думал, вы вообще ушли. Вы же переехали там со второго этажа.
 Да, верно, сюда.
 Ну, как-то там непонятно. Я думал, ну всё, вы вытеснили.
 А прям сразу оттуда сюда, да?
 Я уверена, что сразу.
 Нет, не сразу.
","",""
" Да, если можно.
 Закрыть вам остраяся водичку?
 Закройте, пожалуйста.
 Лучше эспрессо закрой, ага
 Спасибо
 Можно это убрать
 Ага, вот уже можно закрывать
 Так, всё, да? Да
 Так, а ещё третья, да? Или она взяла?
 Капучино маленький
 А латте?
 А, и латте ещё? Конечно
 Я думала место, я не знала, что вас тратят
 Нет, нам надо на 3 человека
 Да, пожалуйста.
 Оружие?
 Да.
 Спасибо, Анна, на встречу. Поздравляйтесь.
 До свидания.
 Проедите добро. А то вы выглядите как-то прям... Не могу вам сделать комплимент.
 Не очень, не очень выглядите как-то прям...
 Прям...
 Да это просто недосыпь.
 Как недосыпь?
","",""
" Здравствуйте. А можно просто бутылочку воды, пожалуйста?
 Конечно. С холодильника, в таком-то температуре.
 С холодильника давайте.
 Вы можете чек распечатать вам?
 Вы можете чек распечатать?
 Нет.
","",""
" 150 рублей билет. Парочек наличный?
 Да.
 А вы сделаете свою?
","+",""
" Можно иван-чай?
 Иван-чай, хорошо
 У нас только ноль-тые правда объем здесь
 Без проблем
 Хорошо
 Минуточки 4-5 ему нужно будет, чтобы заварился
 Хорошо
 Всё?
 Да
 Хорошо, 250 рублей
 Можете распечатать вам?
 Чтобы корподом оплатить можно сделать?
 Можно.
 Сейчас, минутку.
 Вот этот может прийти?
 Да, вот этот может прийти.
 А мне 27, а мне 27.
 А вообще, я с 26.
 А, с 26, ну что?
 Вот же рыба.
 Блин, мы с охранником стояли там, вот такие, где жульность?
 Ребята, что? Мы вот так стояли, такие, а где она?
 Мы со всех сторон откусили.
 Мне неудобно вышло.
 Мне пришлось, у них, короче, минимальный заказ от 4 тысячи,
 4 200, я, типа, не относила, 5 кг.
 Орехи на килограмм прикруто.
 Ты сейчас говоришь, я такая, что?
 Говорю, Сергей там, мне не нравится рыба.
 Типа, давайте что-нибудь другое.
 Они говорят, просто на заказы.
 Мне уже 2 тысячи.
 Мне уже 2 тысячи.
","+",""
" Здравствуйте.
 Вы папу делаете?
 Да, как раз, как сюда привезли.
 Можно, пожалуйста, лампу.
 Объемы какие у вас?
 1,2,3.
 Говори.
 150-300 мл.
 150-100?
 150.
 150 или 300.
 150 или 300.
 На обычном молоке?
 На обычном.
 Бамбул вам сладкий, не сладкий делать?
 Ну, там, да.
 На свой вкус.
 Я люблю не сладкий.
 Давайте с кокосом.
 У нас с сиропом не используются.
 У нас с вами ваниль и сахар добавляются.
 Так, не сильно.
 Не, не сильно.
 Хорошо.
 700 рублей.
 Я сразу Надю вспоминала.
 В смысле?
 Не в смысле, а в смысле я не могу понять, кто такой Надя.
 Знаешь, Катя, почему у тебя?
 Вот такой, нового, который с такой работой, у тебя рассказывала, что она однажды сделала чайник и сказала, что чайник ей очень сложно.
 Вот пример чайника, который плохо работает.
 Я говорю, нифига у тебя помните.
 То есть я видимо на эмоциях пришла и рассказала, что чайник ей сложно делается, но она так запомнила, и сразу Надю вспоминает.
 Ну типа да, потому что европейский чайник, как и то, что люди пьют, для дятелей, потому что они слабее, но для детей, что они пьют ровно.
 А если вот кофе брать, то у вас есть с этим сироп?
 Сироп у нас не используется.
 А вы не знаете, это вкусно?
 Холодный латте черника лакрици, но если вы любите лакрицию.
","+",""
" Можно чайку вам распечатать?
 Не, не надо.
","",""
" Здравствуйте. Приятного аппетита.
 Здравствуйте. Можно, пожалуйста, с собой два лимонада, кубника с конфе.
 Заведено с приставами.
 2 лимонада и кубик кашлафей
 700 рублей будет
 карта наличная? наличная
 Продолжение следует...
 Продолжение следует...
","",""
" Элья, где крышка для болотника лежит? Я не могу газ поменять.
 Девушка, мне, пожалуйста, раз в месяц пить яйцо.
 Хорошо.
 150 рублей будет карта наличная?
 наличная
","+",""
" Элья, где крышка для болотника лежит? Я не могу газ поменять.
 Девушка, мне, пожалуйста, раз в месяц пить яйцо.
 Хорошо.
 150 рублей будет карта наличная?
 наличная
","+",""
" Удобно пить из этой чашки?
 Да
 Я просто не проверяла, но я знаю как надо втачивать, чтобы было удобно
 Чего вылила?
 А?
 Чего вылила?
 Я бы оставила, я бы не вылила.
 Но...
 А?
 Я бы выпила.
 Так что, спасибо.
 Я это, как у меня, тут у меня был просто портал, и как люди разошлись, я такая вот...
 А то тут фига, я всё обсмотрела, нигде не могу найти, там уже очередь собирается.
 Кто-то звонит.
 Мне?
 Сетка, да, сетка уже стоит.
 А, да, я забыла, что вы подписываете там.
 А вы не подписываете там?
 Вот, вот эти все тоже где-то делал.
 Наследие красивое.
 Очень хорошее наследие.
 Я побежала.
 Давай.
 Что-то я не соберу.
 Не соберу, заберу.
 Если вы не смотрели, я бы советовала вам, потому что приобретая некий шарм, я смотрела на французском с этим.
","+",""
" Здравствуйте.
 Можно вашу карту, пожалуйста, поправить с курьицей?
 Угу.
 А то чуть подогреть можно будет.
 Да, конечно. Что-нибудь попить?
 Нет, всё, спасибо.
 Хорошо. 365 рублей. По карте у вас?
 Как карта?
 Чек распечатать?
 Нет, пожалуйста.
","+",""
" Здравствуйте!
 Здравствуйте!
 У вас скидка на выпечку?
 Да.
 Нет, мы кофе хотим.
 За шутку.
 Так, а где какое?
 Вот, пожалуйста, меню.
 Авторская не надо.
 Угу.
 Ну, остальное все тоже так же, да? 350.
 Да, это 300 объемом будет.
 Рап, мятный пряник.
 Чем он рап отличается?
 Отчего?
 Нет, объем у нас один максимальный, 0,3.
 А рап это
 сливки, двойное эспрессо и заготовка специальная.
 Сливки двойное, но покрепче которые, да?
 Как капучино больше будет по крепости.
 Там тоже идет двойное эспрессо.
 Там тоже идет? Да, верно.
 Давайте капучино. Капучино, да, все-таки?
","+",""
" Можно попробовать блюфик в лимонад, например.
 Не, лимонад точно нет.
 Можно из него сделать чай.
 Не, я что-нибудь на кофе.
 Если из рафтов, то рекомендую мятный пряник.
 Пряник, наверное, можно даже из классики чай.
","+",""
" А можно у вас просто один стаканчик?
 Да, я просто напомню, что тебе.
 Все, и один стаканчик.
 Все, хорошо.
 Так, получается банановый пудинг в банке и латте, лимонное печенье.
 Да, и один стаканчик.
 Да.
 Все, это есть.
 Мой стаканчик прошел, вареньки.
 Пошел маленький, маленький
 Хорошо.
 У вас есть лёд?
 Лёд?
 Да.
 Да, есть.
 Можно?
 Да, конечно.
 Большие кубики, маленькие
 Большие, крупные давай.
 Можно в парочку?
 Так, ещё?
 Два бросила.
 Ещё, я думаю.
 Ещё.
 Да.
 Смотрим один стаканчик.
 Могу ещё два или один лучше?
 Я думаю, два лучше.
 Один здесь, один здесь, один здесь.
 Два стаканчика.
 Тебе всё равно, сейчас откроешь.
 Ага.
 Спасибо.
 Что это такое?
 Это слоеное тесто из розындерема
 Такая корзиночка из слоеного теста
 Она открывает
","+",""
" Пакетик можно.
 Хорошо.
","",""
" Здравствуйте.
","",""
" Что это за цветочек плавает?
 Цветок гамфрена.
 Гам кого?
 Сейчас покажу.
 Просто интересно.
 Вот так он, гамфрена.
 Прикольно.
 А вот он получше изображен.
 На клевер похож на чего-то.
 Да, это вроде и есть клевер.
 Только по мудрёне называется.
 По научному.
 Пожалуйста, чай.
","",""
" Можно дабл бетоник?
 Да, конечно
 Вам классический тоник использовать?
 Классические
 Тёплый, холодный для вас?
 Давайте тёплый
 Классические, 160
 Продолжение следует...
","+",""
" А можно кусочек чизки?
 Да, конечно.
 Вы его с собой или здесь?
","+","+"
" Можно какао пить?
 Да, давай. Вот печенку.
 А ты с трубочкой, да?
 Мне две печеньки.
 Мне две, точнее, печеньки.
 Вам латте на обычное молоко?
 Да. А какао?
 Я такая тоже на обычное.
 Всё, я бы хочу...
 А, окей.
 С сахаром без?
 Мне, да.
 Мне три ложки сахара.
 В какао, я думаю, не надо, но сладко, наверное, должно быть.
 А у нас просто есть без сахара?
 Есть сахар? Можно сахар.
 У нас с сахаром.
 Мама, две печеньки, всё-таки, две.
 И трубочка.
 Давайте её.
 Две печеньки и две трубочки.
 Или одну трубочку.
","",""
" И можно два кубика льда. Я сначала попробую вкус, да, приятно очень. Хорошо.
 Спасибо.
 2 кубика, да?
 Да, 2 кубика достаточно
 Крышку?
","+",""
"","+",""
"","+",""
"","",""
"","",""
"","+",""
"","",""
"","",""
"","+",""
"","",""
"","",""
"","+",""
"","+",""
"","",""
"","",""
"","",""
"","",""
"","+",""
"","+",""
" Здравствуйте!
","+",""
" Что для вас будет?
 Можно ролл с лососем и травяной чай
 А какой именно для вас? Они разные
 Ну, можно несколько трав смешать, можете любую выбрать
 А мяту можно?
 Можем просто мяту, можем мяту с чем-нибудь
 Давайте просто мяту
 Чай, мяты и ролл с лососем
 Сейчас я его найду
 Терялась, но не бежала
 А вот, теннис мят и ролл с лососем
 Что-нибудь на десерт?
 615 рублей, чек потребуется
 Спасибо
 Пожалуйста, чай.
","+",""
" Здравствуйте.
 Для вас протеиновый батончик.
 Редактор субтитров М.Лосева Корректор Е.Жукова
 Спасибо.
 Здравствуйте!
","+","+"
" Здравствуйте!
 Вы, по-моему, готовы кушать?
 Лавандовый?
 Да-да-да.
 Что перекусить к нему?
 Наверное, ничего.
 Сытное, сладкое, полезное.
 Полезное.
 Сырники без сахара,
 протеиновые и хиниковые батончики,
 трюфельные конфеты.
 Все в этом без сахара.
 Понятно.
 Банках этой десерта, в них есть сахар.
 Сахар из ясного сырнички и вот эта вот вся история.
 А давайте вот, наверное, вот этот самый популярный,
 я так понимаю, да?
 Да, он как раз последний.
 Да, давайте я его.
 Так, да, хорошо.
 И батончик классический, 580 рублей.
","+",""
"","+",""
" И снова здравствуйте.
 И снова здравствуйте.
 А можно меня опять на прикрутке?
 Конечно.
 Перекусите.
 Сейчас.
 Слушайте, а у нас в кассе деньги есть?
 Да.
 У нас не будет пятерки, мы вчера им кассы.
 Ну ладно.
 Деньги по ней, кстати, растяжены в разнице сумм.
 Можете прикладывать.
 Что-то 5 тысяч вроде деньги, а вроде нет.
 Но вы не во время просто пришли, потому что у нас вчера инкасса был.
 Типа сдаём и пришла.
 А вы каждый день?
 Ну, как накапливается.
 То есть по мере прихода.
 Понятно.
 Редактор субтитров Н.Новикова Корректор В.Сухиашвили
 В смысле?
 Ну всё, да?
","",""
" Здравствуйте!
 Здравствуйте!
 Что для вас будет?
 Подумайте!
 А эти еще есть, да?
 Да, все.
 До октября у нас автозак, где-то в октябре оно сменится, так что успейте напиться.
","+",""
